# cmd=./analogdaq args=NULL Mricom v0.1
# timestamp=2020-05-06 21:04:09.509078
TIME	PULSOX	ECG	TEMP
0.005	0.067	-0.178	-0.054
0.010	-0.010	-0.175	-0.077
0.015	-0.038	-0.167	-0.098
0.020	-0.063	-0.156	-0.117
0.025	-0.084	-0.146	-0.132
0.030	-0.103	-0.136	-0.146
0.035	-0.119	-0.126	-0.157
0.040	-0.133	-0.117	-0.166
0.045	-0.145	-0.109	-0.172
0.050	-0.154	-0.101	-0.176
0.055	-0.161	-0.095	-0.180
0.060	-0.168	-0.090	-0.181
0.065	-0.172	-0.085	-0.182
0.070	-0.175	-0.081	-0.181
0.075	-0.178	-0.078	-0.181
0.080	-0.179	-0.076	-0.179
0.085	-0.181	-0.074	-0.177
0.090	-0.179	-0.072	-0.175
0.095	-0.179	-0.071	-0.172
0.100	-0.178	-0.070	-0.170
0.105	-0.177	-0.069	-0.167
0.110	-0.175	-0.068	-0.163
0.115	-0.173	-0.067	-0.161
0.120	-0.171	-0.068	-0.158
0.125	-0.169	-0.067	-0.156
0.130	-0.166	-0.066	-0.153
0.135	-0.164	-0.065	-0.151
0.140	-0.162	-0.065	-0.149
0.145	-0.159	-0.064	-0.146
0.150	-0.156	-0.063	-0.144
0.155	-0.154	-0.063	-0.142
0.160	-0.152	-0.062	-0.140
0.165	-0.150	-0.061	-0.138
0.170	-0.147	-0.060	-0.137
0.175	-0.145	-0.059	-0.135
0.180	-0.143	-0.059	-0.133
0.185	-0.141	-0.057	-0.132
0.190	-0.139	-0.055	-0.130
0.195	-0.137	-0.055	-0.129
0.200	-0.135	-0.053	-0.127
0.205	-0.133	-0.052	-0.126
0.210	-0.131	-0.051	-0.125
0.215	-0.130	-0.049	-0.123
0.220	-0.129	-0.048	-0.122
0.225	-0.126	-0.047	-0.120
0.230	-0.125	-0.045	-0.119
0.235	-0.123	-0.044	-0.118
0.240	-0.122	-0.043	-0.116
0.245	-0.120	-0.042	-0.115
0.250	-0.118	-0.040	-0.114
0.255	-0.117	-0.039	-0.113
0.260	-0.116	-0.038	-0.112
0.265	-0.115	-0.037	-0.111
0.270	-0.112	-0.036	-0.109
0.275	-0.112	-0.034	-0.108
0.280	-0.110	-0.033	-0.107
0.285	-0.109	-0.031	-0.107
0.290	-0.108	-0.030	-0.105
0.295	-0.106	-0.029	-0.104
0.300	-0.105	-0.028	-0.103
0.305	-0.104	-0.026	-0.102
0.310	-0.102	-0.025	-0.100
0.315	-0.101	-0.024	-0.099
0.320	-0.100	-0.023	-0.099
0.325	-0.099	-0.022	-0.098
0.330	-0.098	-0.021	-0.096
0.335	-0.097	-0.020	-0.095
0.340	-0.096	-0.018	-0.094
0.345	-0.095	-0.017	-0.093
0.350	-0.094	-0.016	-0.092
0.355	-0.092	-0.015	-0.091
0.360	-0.091	-0.014	-0.090
0.365	-0.090	-0.013	-0.089
0.370	-0.089	-0.012	-0.088
0.375	-0.088	-0.011	-0.087
0.380	-0.087	-0.010	-0.086
0.385	-0.086	-0.009	-0.085
0.390	-0.085	-0.007	-0.084
0.395	-0.084	-0.007	-0.083
0.400	-0.083	-0.006	-0.082
0.405	-0.082	-0.004	-0.081
0.410	-0.081	-0.004	-0.080
0.415	-0.080	-0.003	-0.079
0.420	-0.079	-0.003	-0.079
0.425	-0.079	-0.002	-0.078
0.430	-0.077	-0.000	-0.076
0.435	-0.076	0.001	-0.076
0.440	-0.076	0.001	-0.076
0.445	-0.075	0.002	-0.074
0.450	-0.073	0.003	-0.073
0.455	-0.072	0.004	-0.072
0.460	-0.072	0.005	-0.072
0.465	-0.071	0.006	-0.071
0.470	-0.070	0.007	-0.070
0.475	-0.069	0.007	-0.069
0.480	-0.069	0.008	-0.069
0.485	-0.068	0.009	-0.068
0.490	-0.067	0.010	-0.067
0.495	-0.065	0.011	-0.066
0.500	-0.065	0.011	-0.065
0.505	-0.064	0.012	-0.065
0.510	-0.063	0.014	-0.064
0.515	-0.062	0.014	-0.064
0.520	-0.062	0.014	-0.063
0.525	-0.061	0.015	-0.062
0.530	-0.061	0.016	-0.061
0.535	-0.060	0.017	-0.061
0.540	-0.059	0.017	-0.060
0.545	-0.058	0.018	-0.059
0.550	-0.057	0.019	-0.059
0.555	-0.057	0.020	-0.058
0.560	-0.057	0.020	-0.057
0.565	-0.055	0.021	-0.057
0.570	-0.054	0.022	-0.056
0.575	-0.054	0.022	-0.055
0.580	-0.053	0.023	-0.055
0.585	-0.053	0.023	-0.054
0.590	-0.051	0.024	-0.054
0.595	-0.051	0.025	-0.053
0.600	-0.051	0.026	-0.053
0.605	-0.050	0.026	-0.052
0.610	-0.049	0.027	-0.051
0.615	-0.049	0.028	-0.051
0.620	-0.048	0.028	-0.051
0.625	-0.048	0.029	-0.050
0.630	-0.047	0.029	-0.049
0.635	-0.046	0.030	-0.048
0.640	-0.045	0.030	-0.048
0.645	-0.045	0.031	-0.047
0.650	-0.044	0.032	-0.047
0.655	-0.043	0.033	-0.046
0.660	-0.043	0.033	-0.046
0.665	-0.042	0.033	-0.046
0.670	-0.042	0.034	-0.045
0.675	-0.042	0.034	-0.045
0.680	-0.041	0.035	-0.044
0.685	-0.041	0.036	-0.043
0.690	-0.040	0.036	-0.043
