# cmd=./blockstim args=design,test Mricom v0.1
# timestamp=2020-05-07 18:41:35.317709
N_TTL	TIME	N_BLOCK
n	usec	n
0	88	0
1	100097	0
2	200098	0
3	300093	0
4	400148	0
5	500141	0
6	600088	0
7	700088	0
8	800088	0
9	900088	0
10	1000102	0
11	1100095	0
12	1200152	0
13	1300115	0
14	1400132	0
15	1500089	0
16	1600103	0
17	1700154	0
18	1800118	0
19	1900115	0
20	2000091	0
21	2100093	0
22	2200092	0
23	2300091	0
24	2400091	0
25	2500089	0
26	2600141	0
27	2700138	0
28	2800134	0
29	2900135	0
30	3000150	0
31	3100154	0
32	3200135	0
33	3300133	0
34	3400135	0
35	3500139	0
36	3600134	0
37	3700137	0
38	3800135	0
39	3900137	0
40	4000135	0
41	4100142	0
42	4200139	0
43	4300138	0
44	4400141	0
45	4500143	0
46	4600149	0
47	4700141	0
48	4800134	0
49	4900136	0
50	5000134	0
51	5100146	0
52	5200094	0
53	5300096	0
54	5400139	0
55	5500147	0
56	5600142	0
57	5700134	0
58	5800136	0
59	5900139	0
60	6000135	0
61	6100151	0
62	6200143	0
63	6300135	0
64	6400138	0
65	6500143	0
66	6600137	0
67	6700142	0
68	6800134	0
69	6900137	0
70	7000146	0
71	7100155	0
72	7200138	0
73	7300133	0
74	7400137	0
75	7500151	0
76	7600141	0
77	7700141	0
78	7800134	0
79	7900136	0
80	8000134	0
81	8100147	0
82	8200143	0
83	8300137	0
84	8400135	0
85	8500138	0
86	8600139	0
87	8700142	0
88	8800139	0
89	8900138	0
90	9000149	0
91	9100159	0
92	9200089	0
93	9300088	0
94	9400088	0
95	9500092	0
96	9600088	0
97	9700091	0
98	9800136	0
99	9900091	0
