# cmd=/home/david/dev/mricom/bin/analogdaq args=NULL Mricom v0.1
# timestamp=2020-08-06 17:01:58.823237
TIME	RESP	PULSOX	ECG
0.01000	0.01877	-1.46166	2.96193
0.02000	0.27787	-1.28069	2.54322
0.03000	0.47471	-1.09941	2.18311
0.04000	0.61997	-0.92363	1.87488
0.05000	0.72374	-0.75517	1.61273
0.06000	0.79454	-0.59709	1.39055
0.07000	0.83879	-0.45182	1.20409
0.08000	0.86320	-0.31785	1.04875
0.09000	0.87114	-0.19699	0.91936
0.10000	0.86687	-0.08957	0.81285
0.11000	0.85466	0.00656	0.72587
0.12000	0.83574	0.09079	0.65446
0.13000	0.81224	0.16434	0.59709
0.14000	0.78691	0.22812	0.55131
0.15000	0.75975	0.28367	0.51499
0.16000	0.73198	0.32975	0.48692
0.17000	0.70451	0.36912	0.46464
0.18000	0.67826	0.40238	0.44755
0.19000	0.65324	0.42985	0.43503
0.20000	0.62943	0.45151	0.42588
0.21000	0.60685	0.46983	0.41886
0.22000	0.58640	0.48417	0.41398
0.23000	0.56748	0.49485	0.41001
0.24000	0.55009	0.50309	0.40818
0.25000	0.53422	0.50919	0.40665
0.26000	0.51957	0.51316	0.40543
0.27000	0.50675	0.51560	0.40482
0.28000	0.49485	0.51682	0.40452
0.29000	0.48417	0.51682	0.40360
0.30000	0.47410	0.51621	0.40269
0.31000	0.46494	0.51438	0.40238
0.32000	0.45701	0.51255	0.40177
0.33000	0.44999	0.50980	0.40085
0.34000	0.44327	0.50675	0.39963
0.35000	0.43687	0.50340	0.39811
0.36000	0.43076	0.49973	0.39719
0.37000	0.42618	0.49638	0.39536
0.38000	0.42100	0.49241	0.39322
0.39000	0.41672	0.48905	0.39139
0.40000	0.41245	0.48478	0.38926
0.41000	0.40818	0.48142	0.38682
0.42000	0.40421	0.47807	0.38437
0.43000	0.40085	0.47410	0.38254
0.44000	0.39658	0.47013	0.37980
0.45000	0.39322	0.46677	0.37705
0.46000	0.38987	0.46311	0.37430
0.47000	0.38682	0.45945	0.37186
0.48000	0.38346	0.45579	0.36881
0.49000	0.37980	0.45304	0.36576
0.50000	0.37705	0.44968	0.36301
0.51000	0.37400	0.44663	0.36027
0.52000	0.37125	0.44297	0.35721
0.53000	0.36759	0.43961	0.35447
0.54000	0.36484	0.43656	0.35172
0.55000	0.36179	0.43351	0.34897
0.56000	0.35904	0.43015	0.34531
0.57000	0.35599	0.42741	0.34287
0.58000	0.35325	0.42496	0.34012
0.59000	0.35050	0.42161	0.33677
0.60000	0.34745	0.41855	0.33433
0.61000	0.34501	0.41550	0.33127
0.62000	0.34226	0.41306	0.32883
0.63000	0.33890	0.41032	0.32609
0.64000	0.33677	0.40757	0.32334
0.65000	0.33341	0.40421	0.32029
0.66000	0.33097	0.40208	0.31815
0.67000	0.32792	0.39933	0.31510
0.68000	0.32578	0.39658	0.31205
0.69000	0.32212	0.39353	0.30991
0.70000	0.31998	0.39139	0.30686
0.71000	0.31754	0.38865	0.30472
0.72000	0.31540	0.38590	0.30228
0.73000	0.31205	0.38346	0.29923
0.74000	0.30991	0.38071	0.29709
0.75000	0.30716	0.37858	0.29435
0.76000	0.30503	0.37552	0.29191
0.77000	0.30228	0.37308	0.28977
0.78000	0.29953	0.37034	0.28641
0.79000	0.29709	0.36851	0.28428
0.80000	0.29496	0.36606	0.28214
0.81000	0.29191	0.36362	0.28000
0.82000	0.28977	0.36088	0.27726
0.83000	0.28733	0.35904	0.27512
0.84000	0.28519	0.35691	0.27268
0.85000	0.28275	0.35386	0.27054
0.86000	0.28000	0.35203	0.26810
0.87000	0.27817	0.34989	0.26566
0.88000	0.27604	0.34745	0.26322
0.89000	0.27329	0.34531	0.26169
0.90000	0.27146	0.34287	0.25925
0.91000	0.26932	0.34073	0.25650
0.92000	0.26688	0.33860	0.25437
0.93000	0.26413	0.33616	0.25254
0.94000	0.26230	0.33341	0.25010
0.95000	0.25986	0.33188	0.24796
0.96000	0.25742	0.33005	0.24582
0.97000	0.25589	0.32792	0.24430
0.98000	0.25406	0.32547	0.24155
0.99000	0.25162	0.32334	0.23972
1.00000	0.24949	0.32120	0.23758
1.01000	0.24735	0.31907	0.23575
1.02000	0.24582	0.31724	0.23362
1.03000	0.24338	0.31510	0.23178
1.04000	0.24125	0.31388	0.22995
1.05000	0.23911	0.31083	0.22751
1.06000	0.23758	0.30930	0.22599
1.07000	0.23514	0.30747	0.22416
1.08000	0.23301	0.30564	0.22171
1.09000	0.23178	0.30350	0.22019
1.10000	0.22965	0.30167	0.21805
1.11000	0.22690	0.29953	0.21622
1.12000	0.22538	0.29770	0.21439
1.13000	0.22416	0.29587	0.21286
1.14000	0.22171	0.29435	0.21103
1.15000	0.21988	0.29221	0.20890
1.16000	0.21836	0.29007	0.20676
1.17000	0.21653	0.28885	0.20523
1.18000	0.21500	0.28733	0.20371
1.19000	0.21347	0.28489	0.20188
1.20000	0.21134	0.28367	0.20005
1.21000	0.20951	0.28153	0.19821
1.22000	0.20798	0.27970	0.19669
