# cmd=./bin/blockstim args=design,test Mricom v0.1
# timestamp=2020-08-06 14:43:34.028553
N_TTL	TIME	N_BLOCK
n	usec	n
0	189	0
1	100118	0
2	200158	0
3	300473	0
4	400120	0
5	500117	0
6	600115	0
7	700116	0
8	800117	0
9	900116	0
10	1000131	0
11	1100117	0
12	1200100	0
13	1300103	0
14	1400101	0
15	1500121	0
16	1600117	0
17	1700116	0
18	1800115	0
19	1900116	0
20	2000111	0
21	2100114	0
22	2200121	0
23	2300113	0
24	2400124	0
25	2500116	0
26	2600116	0
27	2700116	0
28	2800115	0
29	2900114	0
30	3000118	0
31	3100119	0
32	3200117	0
33	3300113	0
34	3400118	0
35	3500114	0
36	3600116	0
37	3700089	0
38	3800111	0
39	3900155	0
40	4000154	0
41	4100155	0
42	4200152	0
43	4300140	0
44	4400154	0
45	4500156	0
46	4600153	0
47	4700156	0
48	4800153	0
49	4900156	0
50	5000152	0
51	5100154	0
52	5200152	0
53	5300232	0
54	5400156	0
55	5500106	0
56	5600154	0
57	5700155	0
58	5800154	0
59	5900156	0
60	6000153	0
61	6100156	0
62	6200155	0
63	6300390	0
64	6400154	0
65	6500159	0
66	6600153	0
67	6700156	0
68	6800154	0
69	6900155	0
70	7000154	0
71	7100154	0
72	7200152	0
73	7300339	0
74	7400160	0
75	7500156	0
76	7600155	0
77	7700155	0
78	7800157	0
79	7900155	0
80	8000156	0
81	8100154	0
82	8200157	0
83	8300356	0
84	8400160	0
85	8500155	0
86	8600155	0
87	8700154	0
88	8800156	0
89	8900153	0
90	9000156	0
91	9100154	0
92	9200157	0
93	9300354	0
94	9400154	0
95	9500155	0
96	9600157	0
97	9700154	0
98	9800155	0
99	9900153	0
