# cmd=/home/david/dev/mricom/bin/blockstim args=design,trig Mricom v0.1
# timestamp=2020-06-11 20:50:16.547508
N_TTL	TIME	N_BLOCK
n	usec	n
0	104	0
1	100099	0
2	200096	0
3	300094	0
4	400097	0
5	500095	0
6	600092	0
7	700096	0
8	800094	0
9	900103	0
10	1000098	0
11	1100095	0
12	1200093	0
13	1300094	0
14	1400095	0
15	1500097	0
16	1600096	0
17	1700095	0
18	1800097	0
19	1900098	0
20	2000095	0
21	2100098	0
22	2200097	0
23	2300095	0
24	2400103	0
25	2500098	0
26	2600097	0
27	2700109	0
28	2800098	0
29	2900099	0
30	3000095	0
31	3100099	0
32	3200095	0
33	3300098	0
34	3400099	0
35	3500099	0
36	3600093	0
37	3700093	0
38	3800095	0
39	3900099	0
40	4000096	0
41	4100106	0
42	4200097	0
43	4300101	0
44	4400106	0
45	4500146	0
46	4600097	0
47	4700118	0
48	4800137	0
49	4900138	0
50	5000125	0
51	5100097	0
52	5200139	0
53	5300129	0
54	5400109	0
55	5500135	0
56	5600152	0
57	5700102	0
58	5800108	0
59	5900100	0
60	6000093	0
61	6100315	0
62	6200099	0
63	6300140	0
64	6400110	0
65	6500121	0
66	6600113	0
67	6700140	0
68	6800096	0
69	6900095	0
70	7000117	0
71	7100109	0
72	7200105	0
73	7300144	0
74	7400112	0
75	7500098	0
76	7600098	0
77	7700129	0
78	7800106	0
79	7900121	0
80	8000115	0
81	8100098	0
82	8200097	0
83	8300097	0
84	8400094	0
85	8500098	0
86	8600099	0
87	8700095	0
88	8800097	0
89	8900096	0
90	9000096	0
91	9100094	0
92	9200096	0
93	9300097	0
94	9400101	0
95	9500097	0
96	9600099	0
97	9700098	0
98	9800093	0
99	9900096	0
