# cmd=/home/david/dev/mricom/bin/blockstim args=design,trig Mricom v0.1
# timestamp=2020-06-16 15:23:09.153010
N_TTL	TIME	N_BLOCK
n	usec	n
0	109	0
1	100096	0
2	200132	0
3	300160	0
4	400127	0
5	500130	0
6	600128	0
7	700134	0
8	800130	0
9	900129	0
10	1000142	0
11	1100130	0
12	1200126	0
13	1300138	0
14	1400139	0
15	1500108	0
16	1600125	0
17	1700129	0
18	1800143	0
19	1900137	0
20	2000127	0
21	2100089	0
22	2200129	0
23	2300147	0
24	2400148	0
25	2500131	0
26	2600192	0
27	2700093	0
28	2800128	0
29	2900092	0
30	3000095	0
31	3100135	0
32	3200126	0
33	3300095	0
34	3400129	0
35	3500127	0
36	3600126	0
37	3700127	0
38	3800125	0
39	3900126	0
40	4000125	0
41	4100127	0
42	4200125	0
43	4300126	0
44	4400128	0
45	4500128	0
46	4600127	0
47	4700128	0
48	4800125	0
49	4900124	0
50	5000125	0
51	5100124	0
52	5200125	0
53	5300131	0
54	5400126	0
55	5500127	0
56	5600125	0
57	5700128	0
58	5800125	0
59	5900128	0
60	6000132	0
61	6100126	0
62	6200126	0
63	6300129	0
64	6400127	0
65	6500125	0
66	6600124	0
67	6700128	0
68	6800125	0
69	6900124	0
70	7000128	0
71	7100125	0
72	7200126	0
73	7300126	0
74	7400127	0
75	7500126	0
76	7600127	0
77	7700127	0
78	7800126	0
79	7900125	0
80	8000125	0
81	8100126	0
82	8200125	0
83	8300116	0
84	8400146	0
85	8500126	0
86	8600128	0
87	8700091	0
88	8800126	0
89	8900143	0
90	9000110	0
91	9100099	0
92	9200125	0
93	9300127	0
94	9400147	0
95	9500097	0
96	9600126	0
97	9700137	0
98	9800145	0
99	9900137	0
