# cmd=/home/david/dev/mricom/bin/blockstim args=design,trig Mricom v0.1
# timestamp=2020-06-16 15:23:29.158570
N_TTL	TIME	N_BLOCK
n	usec	n
0	110	0
1	100122	0
2	200156	0
3	300094	0
4	400097	0
5	500094	0
6	600119	0
7	700098	0
8	800094	0
9	900092	0
10	1000098	0
11	1100127	0
12	1200098	0
13	1300134	0
14	1400097	0
15	1500134	0
16	1600096	0
17	1700117	0
18	1800154	0
19	1900100	0
20	2000118	0
21	2100098	0
22	2200106	0
23	2300143	0
24	2400099	0
25	2500096	0
26	2600115	0
27	2700095	0
28	2800103	0
29	2900115	0
30	3000095	0
31	3100129	0
32	3200144	0
33	3300136	0
34	3400108	0
35	3500103	0
36	3600093	0
37	3700097	0
38	3800096	0
39	3900095	0
40	4000097	0
41	4100100	0
42	4200094	0
43	4300093	0
44	4400094	0
45	4500094	0
46	4600093	0
47	4700094	0
48	4800092	0
49	4900095	0
50	5000093	0
51	5100093	0
52	5200091	0
53	5300095	0
54	5400091	0
55	5500093	0
56	5600091	0
57	5700093	0
58	5800095	0
59	5900093	0
60	6000093	0
61	6100196	0
62	6200096	0
63	6300094	0
64	6400094	0
65	6500093	0
66	6600093	0
67	6700098	0
68	6800095	0
69	6900092	0
70	7000090	0
71	7100093	0
72	7200092	0
73	7300095	0
74	7400092	0
75	7500111	0
76	7600092	0
77	7700094	0
78	7800093	0
79	7900092	0
80	8000093	0
81	8100092	0
82	8200094	0
83	8300094	0
84	8400092	0
85	8500093	0
86	8600093	0
87	8700093	0
88	8800094	0
89	8900092	0
90	9000092	0
91	9100093	0
92	9200092	0
93	9300105	0
94	9400106	0
95	9500094	0
96	9600091	0
97	9700119	0
98	9800097	0
99	9900133	0
