# cmd=/home/david/dev/mricom/bin/analogdaq args=NULL Mricom v0.1
# timestamp=2020-06-18 19:21:09.786924
TIME	RESP	PULSOX	ECG
0.005	-1.058	-1.676	0.758
0.010	-0.901	-1.586	0.530
0.015	-0.779	-1.492	0.333
0.020	-0.685	-1.398	0.165
0.025	-0.614	-1.306	0.021
0.030	-0.562	-1.219	-0.101
0.035	-0.524	-1.136	-0.203
0.040	-0.497	-1.060	-0.288
0.045	-0.480	-0.990	-0.358
0.050	-0.470	-0.925	-0.415
0.055	-0.464	-0.868	-0.462
0.060	-0.464	-0.815	-0.499
0.065	-0.466	-0.768	-0.527
0.070	-0.469	-0.727	-0.550
0.075	-0.474	-0.690	-0.566
0.080	-0.480	-0.657	-0.578
0.085	-0.486	-0.628	-0.586
0.090	-0.491	-0.603	-0.591
0.095	-0.496	-0.581	-0.593
0.100	-0.501	-0.562	-0.594
0.105	-0.505	-0.545	-0.593
0.110	-0.509	-0.530	-0.590
0.115	-0.512	-0.516	-0.586
0.120	-0.514	-0.505	-0.582
0.125	-0.516	-0.495	-0.578
0.130	-0.517	-0.486	-0.573
0.135	-0.517	-0.478	-0.567
0.140	-0.517	-0.470	-0.562
0.145	-0.517	-0.464	-0.556
0.150	-0.516	-0.458	-0.551
0.155	-0.515	-0.453	-0.545
0.160	-0.513	-0.447	-0.540
0.165	-0.511	-0.442	-0.535
0.170	-0.508	-0.438	-0.530
0.175	-0.506	-0.433	-0.525
0.180	-0.502	-0.430	-0.519
0.185	-0.500	-0.425	-0.514
0.190	-0.496	-0.421	-0.509
0.195	-0.493	-0.417	-0.505
0.200	-0.490	-0.414	-0.501
0.205	-0.487	-0.410	-0.496
0.210	-0.483	-0.406	-0.492
0.215	-0.480	-0.404	-0.488
0.220	-0.476	-0.400	-0.484
0.225	-0.473	-0.396	-0.480
0.230	-0.469	-0.392	-0.476
0.235	-0.465	-0.389	-0.472
0.240	-0.462	-0.385	-0.468
0.245	-0.458	-0.382	-0.464
0.250	-0.455	-0.379	-0.461
0.255	-0.451	-0.376	-0.457
0.260	-0.448	-0.372	-0.453
0.265	-0.444	-0.368	-0.450
0.270	-0.440	-0.365	-0.446
0.275	-0.437	-0.361	-0.443
0.280	-0.434	-0.358	-0.439
0.285	-0.430	-0.355	-0.436
0.290	-0.427	-0.351	-0.433
0.295	-0.423	-0.349	-0.430
0.300	-0.420	-0.345	-0.426
0.305	-0.417	-0.342	-0.423
0.310	-0.414	-0.339	-0.420
0.315	-0.411	-0.335	-0.417
0.320	-0.407	-0.332	-0.413
0.325	-0.404	-0.329	-0.410
0.330	-0.401	-0.326	-0.407
0.335	-0.397	-0.322	-0.404
0.340	-0.394	-0.320	-0.400
0.345	-0.391	-0.316	-0.398
0.350	-0.388	-0.314	-0.395
0.355	-0.385	-0.311	-0.392
0.360	-0.383	-0.307	-0.388
0.365	-0.380	-0.304	-0.386
0.370	-0.376	-0.302	-0.383
0.375	-0.374	-0.299	-0.380
0.380	-0.371	-0.296	-0.377
0.385	-0.368	-0.293	-0.375
0.390	-0.365	-0.290	-0.372
0.395	-0.362	-0.287	-0.368
0.400	-0.359	-0.284	-0.366
0.405	-0.357	-0.282	-0.363
0.410	-0.354	-0.279	-0.361
0.415	-0.351	-0.276	-0.358
0.420	-0.348	-0.273	-0.355
0.425	-0.345	-0.271	-0.352
0.430	-0.343	-0.268	-0.350
0.435	-0.340	-0.266	-0.347
0.440	-0.338	-0.263	-0.344
0.445	-0.335	-0.260	-0.342
0.450	-0.332	-0.257	-0.339
0.455	-0.329	-0.255	-0.337
0.460	-0.327	-0.253	-0.334
0.465	-0.324	-0.250	-0.332
0.470	-0.322	-0.248	-0.329
0.475	-0.320	-0.245	-0.326
0.480	-0.317	-0.242	-0.324
0.485	-0.314	-0.240	-0.322
0.490	-0.312	-0.238	-0.319
0.495	-0.310	-0.235	-0.316
0.500	-0.307	-0.233	-0.314
0.505	-0.305	-0.230	-0.312
0.510	-0.303	-0.228	-0.310
0.515	-0.300	-0.225	-0.307
