# cmd=/home/david/dev/mricom/bin/blockstim args=design,trig Mricom v0.1
# timestamp=2020-07-05 19:21:24.264657
N_TTL	TIME	N_BLOCK
n	usec	n
0	114	0
1	100105	0
2	200111	0
3	300133	0
4	400105	0
5	500127	0
6	600149	0
7	700162	0
8	800105	0
9	900141	0
10	1000143	0
11	1100120	0
12	1200126	0
13	1300126	0
14	1400105	0
15	1500104	0
16	1600101	0
17	1700100	0
18	1800101	0
19	1900101	0
20	2000135	0
21	2100105	0
22	2200127	0
23	2300125	0
24	2400124	0
25	2500100	0
26	2600098	0
27	2700100	0
28	2800100	0
29	2900100	0
30	3000101	0
31	3100098	0
32	3200100	0
33	3300098	0
34	3400099	0
35	3500127	0
36	3600128	0
37	3700098	0
38	3800097	0
39	3900128	0
40	4000125	0
41	4100098	0
42	4200100	0
43	4300096	0
44	4400125	0
45	4500125	0
46	4600126	0
47	4700127	0
48	4800125	0
49	4900129	0
50	5000098	0
51	5100097	0
52	5200127	0
53	5300129	0
54	5400127	0
55	5500126	0
56	5600125	0
57	5700124	0
58	5800125	0
59	5900125	0
60	6000132	0
61	6100129	0
62	6200128	0
63	6300126	0
64	6400125	0
65	6500096	0
66	6600096	0
67	6700126	0
68	6800128	0
69	6900130	0
70	7000125	0
71	7100124	0
72	7200130	0
73	7300128	0
74	7400127	0
75	7500125	0
76	7600127	0
77	7700125	0
78	7800124	0
79	7900125	0
80	8000095	0
81	8100129	0
82	8200096	0
83	8300129	0
84	8400121	0
85	8500128	0
86	8600135	0
87	8700128	0
88	8800127	0
89	8900130	0
90	9000133	0
91	9100103	0
92	9200133	0
93	9300133	0
94	9400106	0
95	9500131	0
96	9600134	0
97	9700139	0
98	9800116	0
99	9900109	0
