# cmd=test_unit args=NULL Mricom v0.1
# timestamp=2020-06-21 19:12:15.918585
TIME	RESP	PULSOX	ECG
45.97000	-0.00107	0.07248	-0.01022
45.97500	-0.00107	0.07248	-0.01053
45.98000	-0.00076	0.07218	-0.01083
45.98500	-0.00076	0.07248	-0.01083
45.99000	-0.00076	0.07279	-0.01083
45.99500	-0.00046	0.07279	-0.01022
46.00000	-0.00076	0.07218	-0.01083
46.00500	-0.00076	0.07279	-0.01053
46.01000	-0.00076	0.07309	-0.01083
46.01500	-0.00015	0.07248	-0.01053
46.02000	-0.00046	0.07279	-0.01053
46.02500	-0.00015	0.07279	-0.01053
46.03000	-0.00076	0.07279	-0.01083
46.03500	-0.00076	0.07248	-0.00992
46.04000	-0.00046	0.07248	-0.01114
46.04500	-0.00107	0.07187	-0.01053
46.05000	-0.00076	0.07279	-0.01053
46.05500	-0.00107	0.07248	-0.01083
46.06000	-0.00076	0.07248	-0.01053
46.06500	-0.00046	0.07279	-0.01022
46.07000	-0.00046	0.07218	-0.01053
46.07500	-0.00076	0.07218	-0.01053
46.08000	-0.00076	0.07279	-0.01083
46.08500	-0.00076	0.07218	-0.01083
46.09000	-0.00076	0.07218	-0.01053
46.09500	-0.00107	0.07248	-0.01053
46.10000	-0.00107	0.07248	-0.01083
46.10500	-0.00107	0.07248	-0.01083
46.11000	-0.00046	0.07218	-0.01083
46.11500	-0.00046	0.07279	-0.01053
46.12000	-0.00107	0.07218	-0.01053
46.12500	-0.00076	0.07248	-0.01053
46.13000	-0.00046	0.07279	-0.01053
46.13500	-0.00107	0.07279	-0.01053
46.14000	-0.00046	0.07279	-0.01053
46.14500	-0.00046	0.07248	-0.00992
46.15000	-0.00046	0.07248	-0.01053
46.15500	-0.00076	0.07218	-0.01022
46.16000	-0.00046	0.07218	-0.01022
46.16500	-0.00015	0.07248	-0.01053
46.17000	-0.00046	0.07279	-0.01053
46.17500	-0.00046	0.07279	-0.01053
46.18000	-0.00046	0.07218	-0.01053
46.18500	-0.00046	0.07248	-0.01053
46.19000	-0.00046	0.07309	-0.01053
46.19500	-0.00046	0.07279	-0.01083
46.20000	-0.00046	0.07218	-0.01022
46.20500	-0.00046	0.07248	-0.01083
46.21000	-0.00046	0.07279	-0.01053
46.21500	-0.00046	0.07248	-0.01053
46.22000	-0.00076	0.07279	-0.01053
46.22500	-0.00107	0.07218	-0.01083
46.23000	-0.00076	0.07309	-0.01053
46.23500	-0.00046	0.07248	-0.01053
46.24000	-0.00137	0.07279	-0.01022
46.24500	-0.00046	0.07248	-0.01053
46.25000	-0.00046	0.07248	-0.01083
46.25500	-0.00046	0.07248	-0.01083
46.26000	-0.00076	0.07248	-0.01053
46.26500	-0.00046	0.07248	-0.01053
46.27000	-0.00076	0.07279	-0.01053
46.27500	-0.00076	0.07279	-0.01053
46.28000	-0.00076	0.07248	-0.01053
46.28500	-0.00076	0.07248	-0.01083
46.29000	-0.00107	0.07218	-0.01053
46.29500	-0.00046	0.07279	-0.01053
46.30000	-0.00107	0.07248	-0.01022
46.30500	-0.00076	0.07248	-0.01083
46.31000	-0.00076	0.07279	-0.01053
46.31500	-0.00076	0.07279	-0.01053
46.32000	-0.00046	0.07248	-0.01083
46.32500	-0.00076	0.07248	-0.01114
46.33000	-0.00046	0.07279	-0.01022
46.33500	-0.00046	0.07279	-0.01083
46.34000	-0.00076	0.07279	-0.01022
46.34500	-0.00076	0.07248	-0.01053
46.35000	-0.00107	0.07279	-0.01022
46.35500	-0.00107	0.07248	-0.01053
46.36000	-0.00107	0.07187	-0.01053
46.36500	-0.00076	0.07248	-0.01083
46.37000	-0.00046	0.07248	-0.01053
46.37500	-0.00107	0.07248	-0.01053
46.38000	-0.00076	0.07279	-0.01022
46.38500	-0.00076	0.07218	-0.01083
46.39000	-0.00076	0.07248	-0.01083
46.39500	-0.00076	0.07248	-0.01053
46.40000	-0.00046	0.07279	-0.01083
46.40500	-0.00107	0.07248	-0.01114
46.41000	-0.00046	0.07248	-0.01053
46.41500	-0.00076	0.07248	-0.01022
46.42000	-0.00076	0.07218	-0.01053
46.42500	-0.00076	0.07248	-0.01083
46.43000	-0.00076	0.07248	-0.01083
46.43500	-0.00046	0.07309	-0.01053
46.44000	-0.00076	0.07248	-0.01114
46.44500	-0.00076	0.07309	-0.01053
46.45000	-0.00046	0.07248	-0.01022
46.45500	-0.00076	0.07279	-0.01053
46.46000	-0.00046	0.07248	-0.01053
46.46500	-0.00076	0.07218	-0.01114
46.47000	-0.00015	0.07248	-0.01053
46.47500	-0.00076	0.07248	-0.01053
46.48000	-0.00076	0.07248	-0.01053
46.48500	-0.00046	0.07248	-0.01114
46.49000	-0.00076	0.07218	-0.01022
46.49500	-0.00076	0.07279	-0.01053
46.50000	-0.00107	0.07248	-0.01053
46.50500	-0.00076	0.07279	-0.01053
46.51000	-0.00107	0.07309	-0.01083
46.51500	-0.00076	0.07248	-0.01083
46.52000	-0.00076	0.07248	-0.01083
46.52500	-0.00076	0.07248	-0.01053
46.53000	-0.00076	0.07218	-0.01053
46.53500	-0.00076	0.07218	-0.01053
46.54000	-0.00076	0.07248	-0.01083
46.54500	-0.00107	0.07248	-0.01083
46.55000	-0.00076	0.07218	-0.01083
46.55500	-0.00015	0.07218	-0.01053
46.56000	-0.00046	0.07279	-0.01022
46.56500	-0.00076	0.07248	-0.01053
46.57000	-0.00107	0.07279	-0.01083
46.57500	-0.00107	0.07279	-0.01053
46.58000	-0.00107	0.07279	-0.01083
46.58500	-0.00046	0.07248	-0.01053
46.59000	-0.00076	0.07248	-0.01053
46.59500	-0.00107	0.07248	-0.01083
46.60000	-0.00107	0.07309	-0.01053
46.60500	-0.00076	0.07218	-0.01053
46.61000	-0.00076	0.07279	-0.01083
46.61500	-0.00046	0.07279	-0.01114
46.62000	-0.00046	0.07248	-0.01114
46.62500	-0.00046	0.07218	-0.01083
46.63000	-0.00076	0.07248	-0.01053
46.63500	-0.00046	0.07279	-0.01083
46.64000	-0.00046	0.07248	-0.01083
46.64500	-0.00046	0.07218	-0.01053
46.65000	-0.00076	0.07248	-0.01053
46.65500	-0.00076	0.07279	-0.01053
46.66000	-0.00076	0.07279	-0.01053
46.66500	-0.00076	0.07218	-0.01083
46.67000	-0.00076	0.07309	-0.01022
46.67500	-0.00137	0.07248	-0.01083
46.68000	-0.00076	0.07279	-0.01083
46.68500	-0.00046	0.07248	-0.01114
46.69000	-0.00046	0.07279	-0.01053
46.69500	-0.00046	0.07218	-0.01053
46.70000	-0.00107	0.07218	-0.01053
46.70500	-0.00137	0.07248	-0.01083
46.71000	-0.00076	0.07248	-0.01022
46.71500	-0.00046	0.07248	-0.01053
46.72000	-0.00076	0.07248	-0.01053
