# cmd=mribg args=NULL Mricom v0.1
# timestamp=2020-07-05 19:21:21.260701
TIME	RESP	PULSOX	ECG
0.00000	-0.02029	0.05264	-0.03067
0.00500	-0.01999	0.05234	-0.03006
0.01000	-0.01968	0.05264	-0.03006
0.01500	-0.01938	0.05325	-0.02976
0.02000	-0.01999	0.05356	-0.03037
0.02500	-0.01938	0.05386	-0.02976
0.03000	-0.01907	0.05386	-0.02976
0.03500	-0.01877	0.05386	-0.02914
0.04000	-0.01877	0.05447	-0.02976
0.04500	-0.01846	0.05386	-0.02914
0.05000	-0.01877	0.05447	-0.02853
0.05500	-0.01816	0.05478	-0.02884
0.06000	-0.01846	0.05478	-0.02884
0.06500	-0.01785	0.05509	-0.02792
0.07000	-0.01785	0.05509	-0.02823
0.07500	-0.01724	0.05539	-0.02853
0.08000	-0.01755	0.05539	-0.02792
0.08500	-0.01694	0.05570	-0.02762
0.09000	-0.01724	0.05600	-0.02731
0.09500	-0.01724	0.05631	-0.02731
0.10000	-0.01663	0.05600	-0.02701
0.10500	-0.01633	0.05600	-0.02731
0.11000	-0.01663	0.05661	-0.02701
0.11500	-0.01633	0.05631	-0.02670
0.12000	-0.01572	0.05722	-0.02701
0.12500	-0.01633	0.05722	-0.02640
0.13000	-0.01602	0.05722	-0.02670
0.13500	-0.01572	0.05692	-0.02609
0.14000	-0.01572	0.05722	-0.02579
0.14500	-0.01541	0.05783	-0.02579
0.15000	-0.01541	0.05783	-0.02579
0.15500	-0.01480	0.05814	-0.02609
0.16000	-0.01480	0.05783	-0.02548
0.16500	-0.01511	0.05844	-0.02548
0.17000	-0.01480	0.05814	-0.02518
0.17500	-0.01450	0.05814	-0.02487
0.18000	-0.01450	0.05844	-0.02518
0.18500	-0.01419	0.05844	-0.02457
0.19000	-0.01419	0.05875	-0.02426
0.19500	-0.01389	0.05936	-0.02396
0.20000	-0.01389	0.05936	-0.02457
0.20500	-0.01358	0.05936	-0.02426
0.21000	-0.01389	0.05966	-0.02396
0.21500	-0.01328	0.05966	-0.02396
0.22000	-0.01297	0.05966	-0.02335
0.22500	-0.01328	0.05966	-0.02365
0.23000	-0.01297	0.05997	-0.02365
0.23500	-0.01297	0.05997	-0.02335
0.24000	-0.01297	0.05997	-0.02304
0.24500	-0.01236	0.05997	-0.02335
0.25000	-0.01236	0.06027	-0.02304
0.25500	-0.01236	0.06088	-0.02243
0.26000	-0.01236	0.06088	-0.02274
0.26500	-0.01236	0.06088	-0.02243
0.27000	-0.01205	0.06119	-0.02243
0.27500	-0.01205	0.06058	-0.02213
0.28000	-0.01144	0.06119	-0.02213
0.28500	-0.01144	0.06149	-0.02182
0.29000	-0.01144	0.06149	-0.02213
0.29500	-0.01175	0.06149	-0.02152
0.30000	-0.01114	0.06180	-0.02152
0.30500	-0.01114	0.06180	-0.02121
0.31000	-0.01114	0.06180	-0.02182
0.31500	-0.01144	0.06180	-0.02152
0.32000	-0.01083	0.06241	-0.02121
0.32500	-0.01053	0.06210	-0.02121
0.33000	-0.01053	0.06241	-0.02090
0.33500	-0.01053	0.06210	-0.02090
0.34000	-0.01022	0.06271	-0.02090
0.34500	-0.01022	0.06271	-0.02090
0.35000	-0.01022	0.06271	-0.02090
0.35500	-0.01022	0.06302	-0.02060
0.36000	-0.00992	0.06302	-0.02029
0.36500	-0.00992	0.06332	-0.02029
0.37000	-0.01022	0.06302	-0.02029
0.37500	-0.00931	0.06363	-0.01999
0.38000	-0.00961	0.06363	-0.01999
0.38500	-0.00931	0.06363	-0.01968
0.39000	-0.00961	0.06424	-0.01999
0.39500	-0.00931	0.06332	-0.01938
0.40000	-0.00870	0.06332	-0.01968
0.40500	-0.00931	0.06424	-0.01938
0.41000	-0.00870	0.06394	-0.01877
0.41500	-0.00900	0.06424	-0.01968
0.42000	-0.00870	0.06394	-0.01907
